                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94833,                 1.2981,                 1.2382,                0.90147,                      1,                  0.995,                0.62179,                 1.3767,                 2.4296,                 2.5643,             0.00045111,             0.00045111,             0.00045111
                     36,                0.77449,                 1.0849,                 1.1088,                0.90147,                      1,                  0.995,                0.62179,                 1.3767,                 2.4296,                 2.5643,             0.00045745,             0.00045745,             0.00045745
                     37,                0.74934,                 1.5468,                 1.2039,                0.85747,                      1,                  0.995,                0.59658,                 1.3739,                 2.4926,                 2.4256,             0.00046339,             0.00046339,             0.00046339
                     38,                0.95825,                 1.2724,                 1.2689,                0.85747,                      1,                  0.995,                0.59658,                 1.3739,                 2.4926,                 2.4256,             0.00046894,             0.00046894,             0.00046894
                     39,                0.82124,                  1.449,                 1.1039,                0.76853,                      1,                  0.995,                0.54704,                 1.3219,                 2.6135,                 2.3855,             0.00047409,             0.00047409,             0.00047409
                     40,                0.69493,                 1.0671,                  1.077,                0.76853,                      1,                  0.995,                0.54704,                 1.3219,                 2.6135,                 2.3855,             0.00047884,             0.00047884,             0.00047884
                     41,                0.96633,                 1.1734,                 1.2205,                0.53189,                      1,                  0.995,                0.54908,                 1.5523,                 2.6913,                 2.5978,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.1777,                 1.4227,                 1.2964,                0.53189,                      1,                  0.995,                0.54908,                 1.5523,                 2.6913,                 2.5978,             0.00048716,             0.00048716,             0.00048716
                     43,                0.71745,                 1.1025,                 1.1567,                0.67017,                      1,                  0.995,                0.53038,                 1.7963,                 2.6767,                 3.2464,             0.00049073,             0.00049073,             0.00049073
                     44,                0.69399,                0.98202,                 0.9988,                0.67017,                      1,                  0.995,                0.53038,                 1.7963,                 2.6767,                 3.2464,              0.0004939,              0.0004939,              0.0004939
                     45,                 0.8651,                 1.2101,                 1.2969,                  0.754,                      1,                  0.995,                0.62179,                 1.5534,                 2.5356,                 2.6435,             0.00049667,             0.00049667,             0.00049667
                     46,                0.71949,                  1.897,                 1.2732,                  0.754,                      1,                  0.995,                0.62179,                 1.5534,                 2.5356,                 2.6435,             0.00049905,             0.00049905,             0.00049905
                     47,                 0.9034,                 1.1448,                 1.1776,                0.90166,                      1,                  0.995,                0.61354,                 1.2489,                 2.4359,                 2.1269,             0.00050103,             0.00050103,             0.00050103
                     48,                0.79665,                 1.2376,                 1.1622,                0.90166,                      1,                  0.995,                0.61354,                 1.2489,                 2.4359,                 2.1269,             0.00050262,             0.00050262,             0.00050262
                     49,                 1.1724,                 1.4629,                 1.9428,                0.94192,                      1,                  0.995,                0.53854,                 1.4477,                 2.8923,                 2.7029,             0.00050381,             0.00050381,             0.00050381
                     50,                 0.7273,                0.99851,                 1.0694,                0.94192,                      1,                  0.995,                0.53854,                 1.4477,                 2.8923,                 2.7029,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.1216,                 1.0929,                 1.2369,                0.97722,                      1,                  0.995,                0.48548,                 1.5094,                 3.2294,                 2.9488,               0.000505,               0.000505,               0.000505
                     52,                 1.1388,                 1.9086,                 1.4654,                0.97722,                      1,                  0.995,                0.48548,                 1.5094,                 3.2294,                 2.9488,               0.000505,               0.000505,               0.000505
                     53,                 1.0012,                 1.0051,                 1.2223,                0.97722,                      1,                  0.995,                0.48548,                 1.5094,                 3.2294,                 2.9488,             0.00050461,             0.00050461,             0.00050461
                     54,                 1.0489,                 1.2593,                 1.3329,                0.87311,                    0.5,                  0.745,                0.39713,                 1.7353,                 3.1315,                 2.9912,             0.00050382,             0.00050382,             0.00050382
                     55,                 1.0715,                 1.5753,                  1.594,                0.87311,                    0.5,                  0.745,                0.39713,                 1.7353,                 3.1315,                 2.9912,             0.00050263,             0.00050263,             0.00050263
                     56,                0.90805,                 1.0763,                 1.3009,                0.87311,                    0.5,                  0.745,                0.39713,                 1.7353,                 3.1315,                 2.9912,             0.00050105,             0.00050105,             0.00050105
                     57,                 1.0502,                 1.2097,                 1.4166,                0.66561,                0.99683,                0.82833,                0.47633,                 1.6332,                 3.1608,                 3.2412,             0.00049907,             0.00049907,             0.00049907
                     58,                0.70294,                0.98061,                 1.0131,                0.66561,                0.99683,                0.82833,                0.47633,                 1.6332,                 3.1608,                 3.2412,              0.0004967,              0.0004967,              0.0004967
                     59,                0.93938,                  1.246,                 1.3921,                0.66561,                0.99683,                0.82833,                0.47633,                 1.6332,                 3.1608,                 3.2412,             0.00049393,             0.00049393,             0.00049393
                     60,                0.86178,                 1.3337,                 1.2441,                 0.6598,                      1,                0.82833,                0.47208,                 1.4359,                 2.8042,                 2.8512,             0.00049076,             0.00049076,             0.00049076
                     61,                0.86813,                 1.1687,                 1.2181,                 0.6598,                      1,                0.82833,                0.47208,                 1.4359,                 2.8042,                 2.8512,              0.0004872,              0.0004872,              0.0004872
                     62,                 1.1361,                 1.3166,                 1.5573,                 0.6598,                      1,                0.82833,                0.47208,                 1.4359,                 2.8042,                 2.8512,             0.00048324,             0.00048324,             0.00048324
                     63,                0.76627,                 1.0504,                 1.1357,                      1,                0.98471,                  0.995,                 0.6965,                 1.3074,                 2.2917,                 2.5347,             0.00047889,             0.00047889,             0.00047889
                     64,                0.92764,                 1.0845,                 1.1984,                      1,                0.98471,                  0.995,                 0.6965,                 1.3074,                 2.2917,                 2.5347,             0.00047414,             0.00047414,             0.00047414
                     65,                0.73694,                  1.075,                 1.1779,                      1,                0.98471,                  0.995,                 0.6965,                 1.3074,                 2.2917,                 2.5347,             0.00046899,             0.00046899,             0.00046899
                     66,                0.77938,                 1.0577,                 1.1071,                      1,                0.92484,                  0.995,                 0.6965,                  1.361,                 2.2214,                 2.4539,             0.00046345,             0.00046345,             0.00046345
                     67,                0.52423,                 1.0167,                 1.0285,                      1,                0.92484,                  0.995,                 0.6965,                  1.361,                 2.2214,                 2.4539,             0.00045751,             0.00045751,             0.00045751
                     68,                 0.8722,                 1.1169,                 1.0995,                      1,                0.92484,                  0.995,                 0.6965,                  1.361,                 2.2214,                 2.4539,             0.00045118,             0.00045118,             0.00045118
                     69,                0.93009,                 1.3784,                 1.2731,                0.98447,                      1,                  0.995,                 0.6965,                 1.3382,                 2.0085,                 2.5277,             0.00044445,             0.00044445,             0.00044445
                     70,                0.80157,                 0.9866,                  1.108,                0.98447,                      1,                  0.995,                 0.6965,                 1.3382,                 2.0085,                 2.5277,             0.00043732,             0.00043732,             0.00043732
